loan_amount,income,interest_rate,loan_to_value_ratio,debt_to_income_ratio,property_value,loan_term,applicant_age,derived_race,derived_sex,derived_ethnicity,action_taken,target
25000,98,,28.571,<20%,75000,360,35-44,White,Joint,Not Hispanic or Latino,3,0
105000,100,,107.96,>60%,545000,360,45-54,White,Male,Not Hispanic or Latino,3,0
25000,23,,24.444,49,95000,300,65-74,Black or African American,Male,Not Hispanic or Latino,3,0
55000,180,,25.091,,555000,360,55-64,White,Joint,Not Hispanic or Latino,3,0
175000,74,,88.601,50%-60%,195000,360,35-44,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
285000,102,,96.5,42,295000,360,45-54,Black or African American,Male,Not Hispanic or Latino,3,0
205000,72,,88.222,>60%,455000,360,45-54,American Indian or Alaska Native,Male,Hispanic or Latino,3,0
105000,149,,33.351,50%-60%,1205000,360,>74,Asian,Male,Not Hispanic or Latino,3,0
35000,84,,78.069,50%-60%,555000,120,55-64,Black or African American,Joint,Not Hispanic or Latino,3,0
125000,54,,85,50%-60%,145000,180,>74,White,Male,Not Hispanic or Latino,3,0
295000,0,,89.653,,325000,360,>74,White,Joint,Not Hispanic or Latino,3,0
105000,86,,48.018,47,475000,360,55-64,White,Male,Not Hispanic or Latino,3,0
55000,120,,67.54,>60%,665000,360,35-44,White,Female,Not Hispanic or Latino,3,0
95000,152,,70,43,145000,360,35-44,Asian,Male,Not Hispanic or Latino,3,0
155000,246,,80.667,30%-<36%,955000,360,35-44,American Indian or Alaska Native,Female,Not Hispanic or Latino,3,0
305000,156,,49.18,30%-<36%,615000,360,45-54,Joint,Joint,Not Hispanic or Latino,3,0
195000,72,,75.04,50%-60%,405000,360,35-44,Black or African American,Male,Not Hispanic or Latino,3,0
205000,108,,100,<20%,205000,360,35-44,Black or African American,Sex Not Available,Ethnicity Not Available,3,0
105000,55,,100,,,360,25-34,White,Joint,Not Hispanic or Latino,3,0
55000,70,,60.48,20%-<30%,425000,360,>74,White,Sex Not Available,Not Hispanic or Latino,3,0
105000,19,,116.87,>60%,175000,300,25-34,White,Male,Not Hispanic or Latino,3,0
85000,252,,97.863,43,365000,240,45-54,Black or African American,Female,Not Hispanic or Latino,3,0
105000,350,,72.056,44,2145000,60,45-54,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
875000,25,,75,>60%,1165000,360,55-64,White,Joint,Not Hispanic or Latino,3,0
405000,122,,70.796,50%-60%,565000,360,35-44,White,Female,Not Hispanic or Latino,3,0
105000,35,,50.17,>60%,455000,180,55-64,White,Female,Not Hispanic or Latino,3,0
305000,300,,92.991,43,1375000,240,55-64,Black or African American,Female,Ethnicity Not Available,3,0
285000,61,,80.571,45,355000,360,<25,Race Not Available,Female,Ethnicity Not Available,3,0
125000,,,70,,175000,360,45-54,White,Female,Not Hispanic or Latino,3,0
25000,46,,73.044,50%-60%,575000,252,>74,White,Male,Not Hispanic or Latino,3,0
75000,155,,58.92,>60%,815000,360,45-54,Asian,Male,Free Form Text Only,3,0
55000,164,,79.553,44,575000,360,45-54,White,Female,Not Hispanic or Latino,3,0
1005000,369,,76.92,>60%,1305000,300,45-54,Race Not Available,Sex Not Available,Ethnicity Not Available,3,0
255000,109,,51.546,>60%,485000,360,55-64,White,Female,Not Hispanic or Latino,3,0
135000,45,,101.75,50%-60%,135000,360,25-34,Black or African American,Male,Not Hispanic or Latino,3,0
305000,158,,36.136,50%-60%,1785000,360,45-54,White,Joint,Not Hispanic or Latino,3,0
215000,73,,99.982,42,235000,360,25-34,Asian,Male,Not Hispanic or Latino,3,0
125000,281,,68.928,>60%,1955000,180,55-64,Asian,Joint,Not Hispanic or Latino,3,0
205000,26,,,>60%,,120,>74,White,Female,Not Hispanic or Latino,3,0
345000,157,,90,41,375000,360,45-54,White,Joint,Not Hispanic or Latino,3,0
25000,245,,57.16,<20%,235000,60,45-54,White,Male,Hispanic or Latino,3,0
25000,140,,80,30%-<36%,485000,360,55-64,White,Joint,Not Hispanic or Latino,3,0
495000,134,,100,45,495000,360,55-64,Black or African American,Female,Not Hispanic or Latino,3,0
175000,105,,,,,300,35-44,White,Joint,Not Hispanic or Latino,3,0
55000,55,,9.434,>60%,535000,80,45-54,White,Female,Joint,3,0
75000,125,,84.61,37,395000,360,35-44,White,Female,Not Hispanic or Latino,3,0
