loan_amount,income,interest_rate,loan_to_value_ratio,debt_to_income_ratio,property_value,loan_term,applicant_age,derived_race,derived_sex,derived_ethnicity,action_taken,target
1025000,1058,8.75,,,1365000,360,55-64,Asian,Joint,Not Hispanic or Latino,1,1
685000,,6.78,51.6,,1335000,120,8888,Race Not Available,Sex Not Available,Ethnicity Not Available,1,1
155000,111,Exempt,Exempt,Exempt,Exempt,Exempt,55-64,White,Joint,Not Hispanic or Latino,1,1
25000,29,Exempt,Exempt,Exempt,Exempt,Exempt,65-74,White,Joint,Not Hispanic or Latino,1,1
225000,,5.9,59.459,45,375000,240,25-34,White,Female,Not Hispanic or Latino,1,1
175000,147,7,60.34,<20%,295000,240,35-44,White,Joint,Hispanic or Latino,1,1
165000,272,Exempt,Exempt,Exempt,Exempt,Exempt,45-54,White,Male,Hispanic or Latino,1,1
245000,158,7.375,60,<20%,415000,360,45-54,Asian,Female,Not Hispanic or Latino,1,1
25000,56,10.45,13.447,49,225000,360,35-44,Race Not Available,Female,Ethnicity Not Available,1,1
285000,78,6.875,90,30%-<36%,325000,360,25-34,White,Male,Not Hispanic or Latino,1,1
235000,77,7.875,80,43,295000,360,25-34,White,Joint,Not Hispanic or Latino,1,1
385000,97,7.25,96.5,50%-60%,395000,360,45-54,White,Female,Not Hispanic or Latino,1,1
1325000,558,6.875,80,37,1655000,360,35-44,Asian,Female,Not Hispanic or Latino,1,1
455000,134,6.25,90,48,505000,360,35-44,White,Male,Not Hispanic or Latino,1,1
335000,442,7.625,75,<20%,455000,360,45-54,White,Male,Not Hispanic or Latino,1,1
205000,160,9.74,77.535,20%-<30%,475000,360,25-34,White,Male,Hispanic or Latino,1,1
65000,67,8,13.319,<20%,455000,240,>74,White,Joint,Not Hispanic or Latino,1,1
725000,182,6.5,95,40,765000,360,35-44,Black or African American,Female,Not Hispanic or Latino,1,1
225000,135,5.625,96.439,50%-60%,225000,360,25-34,White,Male,Not Hispanic or Latino,1,1
1325000,245,5.075,80,44,1655000,360,25-34,Asian,Male,Not Hispanic or Latino,1,1
105000,76,7.49,29.75,20%-<30%,335000,300,55-64,White,Joint,Not Hispanic or Latino,1,1
305000,89,6.75,100,44,295000,360,55-64,White,Male,Not Hispanic or Latino,1,1
105000,105,6.49,86.75,44,485000,300,35-44,White,Joint,Hispanic or Latino,1,1
525000,308,6.875,87,30%-<36%,605000,360,25-34,White,Joint,Not Hispanic or Latino,1,1
305000,170,6.875,70,20%-<30%,435000,180,45-54,White,Female,Not Hispanic or Latino,1,1
55000,68,7.99,59.945,43,415000,72,55-64,White,Female,Not Hispanic or Latino,1,1
105000,336,6.49,88.01,20%-<30%,765000,300,65-74,Race Not Available,Sex Not Available,Ethnicity Not Available,1,1
555000,1030,8.09,80,<20%,695000,300,55-64,White,Joint,Not Hispanic or Latino,1,1
55000,88,8.9,23.81,<20%,215000,360,65-74,White,Male,Not Hispanic or Latino,1,1
105000,50,6.75,70.907,41,145000,360,45-54,Race Not Available,Male,Ethnicity Not Available,1,1
105000,145,9.9,78.385,30%-<36%,355000,360,35-44,White,Joint,Not Hispanic or Latino,1,1
215000,54,6.625,51.22,40,415000,360,65-74,White,Male,Not Hispanic or Latino,1,1
55000,99,8.75,69.25,41,425000,300,55-64,White,Male,Not Hispanic or Latino,1,1
155000,102,9.25,88.291,50%-60%,445000,480,35-44,Joint,Joint,Joint,1,1
55000,88,7.49,78.58,39,245000,360,45-54,White,Joint,Not Hispanic or Latino,1,1
745000,306,5.5,61.31,38,1205000,360,35-44,White,Male,Not Hispanic or Latino,1,1
55000,72,8.75,56.67,43,485000,300,35-44,White,Male,Not Hispanic or Latino,1,1
415000,166,7.5,53,38,795000,348,35-44,White,Male,Not Hispanic or Latino,1,1
505000,89,7.13,72.714,50%-60%,705000,360,45-54,Black or African American,Male,Not Hispanic or Latino,1,1
555000,189,7.125,90,49,615000,360,45-54,Race Not Available,Female,Ethnicity Not Available,1,1
265000,75,6.125,101.01,20%-<30%,255000,360,25-34,White,Joint,Not Hispanic or Latino,1,1
1405000,508,5.25,68.293,20%-<30%,2055000,360,55-64,White,Male,Not Hispanic or Latino,1,1
15000,91,9.25,55.76,30%-<36%,285000,360,45-54,White,Joint,Not Hispanic or Latino,1,1
285000,60,6.375,98.41,46,295000,360,25-34,White,Male,Not Hispanic or Latino,1,1
405000,128,7.875,95,40,425000,360,25-34,Asian,Joint,Joint,1,1
15000,117,1,100,46,615000,360,45-54,White,Joint,Hispanic or Latino,1,1
55000,49,7.49,26.23,30%-<36%,435000,360,>74,White,Female,Not Hispanic or Latino,1,1
465000,169,6.625,74.959,40,615000,360,35-44,Asian,Male,Not Hispanic or Latino,1,1
165000,52,Exempt,Exempt,Exempt,Exempt,Exempt,45-54,White,Male,Hispanic or Latino,1,1
275000,87,5.375,100,30%-<36%,275000,360,25-34,Race Not Available,Male,Hispanic or Latino,1,1
275000,780,7.625,,,365000,360,25-34,White,Joint,Not Hispanic or Latino,1,1
135000,82,7.531,34.759,42,375000,360,55-64,White,Joint,Not Hispanic or Latino,1,1
95000,44,7.25,75.558,30%-<36%,125000,360,<25,White,Male,Not Hispanic or Latino,1,1
885000,335,5.875,80,30%-<36%,1105000,360,45-54,Asian,Joint,Not Hispanic or Latino,1,1
305000,97,Exempt,Exempt,Exempt,Exempt,Exempt,25-34,White,Female,Hispanic or Latino,1,1
525000,120,6.499,95,43,555000,360,35-44,Black or African American,Female,Not Hispanic or Latino,1,1
155000,52,6.625,90.495,43,185000,360,25-34,White,Joint,Not Hispanic or Latino,1,1
195000,48,Exempt,Exempt,Exempt,Exempt,Exempt,35-44,White,Male,Not Hispanic or Latino,1,1
585000,213,6.74,55.45,42,1875000,360,45-54,White,Female,Not Hispanic or Latino,1,1
65000,96,9.63,69.358,40,365000,240,65-74,Asian,Male,Not Hispanic or Latino,1,1
135000,73,7.25,101.01,20%-<30%,135000,360,<25,White,Joint,Not Hispanic or Latino,1,1
15000,66,10,80,41,155000,180,55-64,White,Female,Not Hispanic or Latino,1,1
55000,59,6,90,,75000,360,25-34,White,Male,Not Hispanic or Latino,1,1
255000,84,6.5,100,36,255000,360,65-74,White,Joint,Not Hispanic or Latino,1,1
325000,250,5.99,57.143,<20%,565000,360,45-54,Joint,Joint,Ethnicity Not Available,1,1
135000,44,6.5,95,30%-<36%,135000,360,45-54,Race Not Available,Sex Not Available,Not Hispanic or Latino,1,1
55000,50,9.65,70,41,145000,360,55-64,White,Female,Not Hispanic or Latino,1,1
365000,194,7.25,90,41,415000,360,25-34,White,Joint,Not Hispanic or Latino,1,1
195000,119,6.5,96.25,20%-<30%,205000,360,25-34,White,Male,Not Hispanic or Latino,1,1
95000,176,7.25,69.99,20%-<30%,735000,360,>74,White,Joint,Not Hispanic or Latino,1,1
235000,74,6.49,55.56,37,425000,360,25-34,White,Male,Not Hispanic or Latino,1,1
225000,75,6.125,96.15,30%-<36%,235000,360,25-34,Asian,Male,Not Hispanic or Latino,1,1
105000,300,5.99,77.76,20%-<30%,1355000,300,35-44,White,Male,Not Hispanic or Latino,1,1
965000,285,7.675,69.214,46,1405000,360,55-64,White,Joint,Not Hispanic or Latino,1,1
105000,291,8.45,68.667,20%-<30%,485000,360,>74,White,Joint,Not Hispanic or Latino,1,1
345000,96,7.5,80,39,435000,360,65-74,Joint,Joint,Not Hispanic or Latino,1,1
485000,121,2.25,,39,735000,330,35-44,White,Male,Not Hispanic or Latino,1,1
415000,171,7.99,90,46,455000,360,35-44,White,Joint,Not Hispanic or Latino,1,1
75000,399,8.7,70,20%-<30%,555000,360,45-54,Race Not Available,Sex Not Available,Ethnicity Not Available,1,1
105000,294,8.65,31.35,37,805000,360,65-74,White,Joint,Not Hispanic or Latino,1,1
505000,685,6,70,48,2505000,300,35-44,White,Male,Not Hispanic or Latino,1,1
195000,67,5.75,72.453,30%-<36%,265000,240,45-54,White,Male,Not Hispanic or Latino,1,1
2805000,2298,Exempt,Exempt,Exempt,Exempt,Exempt,45-54,Black or African American,Male,Not Hispanic or Latino,1,1
95000,110,8.125,59.707,36,405000,300,45-54,White,Male,Not Hispanic or Latino,1,1
65000,94,14.349,76.24,48,235000,240,35-44,White,Male,Not Hispanic or Latino,1,1
225000,151,6.25,87.1,42,605000,62,35-44,White,Joint,Not Hispanic or Latino,1,1
25000,82,10.9,66,39,205000,360,45-54,White,Female,Not Hispanic or Latino,1,1
625000,301,Exempt,Exempt,Exempt,Exempt,Exempt,35-44,White,Male,Not Hispanic or Latino,1,1
495000,118,5.375,89.818,47,555000,360,55-64,White,Joint,Not Hispanic or Latino,1,1
365000,150,3.625,51.163,30%-<36%,715000,360,45-54,White,Joint,Joint,1,1
75000,73,12.06,89.772,50%-60%,255000,240,25-34,Black or African American,Male,Not Hispanic or Latino,1,1
25000,132,8.5,38.953,<20%,245000,240,35-44,White,Joint,Not Hispanic or Latino,1,1
565000,,6.375,65.216,,865000,360,8888,Race Not Available,Sex Not Available,Ethnicity Not Available,1,1
195000,75,5.875,80,49,245000,300,35-44,White,Female,Not Hispanic or Latino,1,1
275000,69,6.75,67.25,41,405000,360,35-44,White,Female,Not Hispanic or Latino,1,1
15000,88,6.875,100,44,395000,120,25-34,White,Male,Hispanic or Latino,1,1
65000,95,8.25,65.765,20%-<30%,455000,240,25-34,Race Not Available,Joint,Not Hispanic or Latino,1,1
85000,56,Exempt,Exempt,Exempt,Exempt,Exempt,55-64,White,Joint,Not Hispanic or Latino,1,1
495000,439,6.49,41.31,30%-<36%,2005000,360,35-44,White,Male,Not Hispanic or Latino,1,1
275000,140,7.125,42.485,36,655000,360,35-44,White,Male,Not Hispanic or Latino,1,1
505000,351,8.875,,20%-<30%,635000,360,35-44,White,Male,Hispanic or Latino,1,1
575000,159,5.25,70,20%-<30%,635000,360,65-74,White,Joint,Not Hispanic or Latino,1,1
55000,170,9.15,50.597,30%-<36%,595000,360,45-54,White,Female,Not Hispanic or Latino,1,1
75000,94,7.95,68.449,20%-<30%,345000,240,65-74,White,Joint,Not Hispanic or Latino,1,1
55000,149,7.5,43.59,20%-<30%,565000,300,55-64,White,Male,Not Hispanic or Latino,1,1
115000,,10,80,,145000,360,25-34,White,Male,Not Hispanic or Latino,1,1
155000,195,9,82.139,30%-<36%,1005000,480,65-74,Race Not Available,Joint,Ethnicity Not Available,1,1
255000,118,7.375,100.43,44,255000,360,25-34,White,Joint,Not Hispanic or Latino,1,1
55000,156,8,46.771,20%-<30%,395000,60,65-74,White,Male,Not Hispanic or Latino,1,1
355000,131,6.75,96.5,48,365000,360,25-34,White,Male,Not Hispanic or Latino,1,1
215000,54,6.375,90,36,245000,360,25-34,White,Male,Ethnicity Not Available,1,1
335000,69,5.25,104.339,44,355000,360,25-34,White,Female,Hispanic or Latino,1,1
275000,92,6,64.497,50%-60%,425000,360,25-34,White,Male,Hispanic or Latino,1,1
25000,38,Exempt,Exempt,Exempt,Exempt,Exempt,>74,White,Male,Not Hispanic or Latino,1,1
355000,149,6.95,80,44,445000,360,35-44,White,Joint,Not Hispanic or Latino,1,1
215000,74,6.625,87.472,20%-<30%,245000,360,65-74,Race Not Available,Sex Not Available,Ethnicity Not Available,1,1
465000,107,4.75,100.833,44,605000,360,35-44,Race Not Available,Sex Not Available,Ethnicity Not Available,1,1
465000,140,8.125,95,48,405000,360,25-34,White,Male,Not Hispanic or Latino,1,1
125000,55,6,56,20%-<30%,225000,360,55-64,White,Female,Not Hispanic or Latino,1,1
15000,77,8.8,36.469,46,245000,60,35-44,Black or African American,Male,Not Hispanic or Latino,1,1
215000,76,7.25,100.531,20%-<30%,215000,360,35-44,Black or African American,Male,Not Hispanic or Latino,1,1
45000,148,7.49,13,38,355000,120,45-54,Race Not Available,Sex Not Available,Ethnicity Not Available,1,1
25000,80,9,79.456,50%-60%,315000,480,25-34,White,Male,Not Hispanic or Latino,1,1
365000,290,7.25,62,30%-<36%,595000,360,55-64,Race Not Available,Female,Ethnicity Not Available,1,1
185000,67,6.625,80,30%-<36%,235000,360,>74,Race Not Available,Sex Not Available,Ethnicity Not Available,1,1
1575000,1494,7.225,80,<20%,1965000,360,45-54,White,Male,Not Hispanic or Latino,1,1
425000,178,7.375,70,38,605000,360,35-44,Asian,Female,Not Hispanic or Latino,1,1
25000,37,6.875,95,30%-<36%,25000,360,25-34,White,Female,Not Hispanic or Latino,1,1
55000,231,9.24,60.15,20%-<30%,845000,360,45-54,White,Joint,Not Hispanic or Latino,1,1
365000,114,Exempt,Exempt,Exempt,Exempt,Exempt,35-44,White,Joint,Not Hispanic or Latino,1,1
185000,52,6,97,41,205000,360,<25,White,Male,Not Hispanic or Latino,1,1
725000,406,6.375,69,41,1805000,360,65-74,White,Male,Not Hispanic or Latino,1,1
205000,48,6,90,49,235000,360,<25,White,Female,Not Hispanic or Latino,1,1
715000,322,6.25,73.958,20%-<30%,965000,360,35-44,Joint,Joint,Not Hispanic or Latino,1,1
115000,63,6,95,38,125000,360,25-34,White,Male,Not Hispanic or Latino,1,1
255000,68,6.625,60.241,37,415000,360,55-64,White,Female,Not Hispanic or Latino,1,1
105000,41,7,80,43,125000,360,35-44,White,Joint,Not Hispanic or Latino,1,1
105000,243,6.99,83.994,20%-<30%,855000,240,35-44,White,Male,Not Hispanic or Latino,1,1
105000,128,9.49,83.13,40,475000,300,65-74,Race Not Available,Sex Not Available,Ethnicity Not Available,1,1
355000,242,9.3,76.694,43,1225000,360,35-44,White,Joint,Not Hispanic or Latino,1,1
845000,317,6.125,100,30%-<36%,825000,360,35-44,Joint,Joint,Joint,1,1
55000,138,7.125,73.362,20%-<30%,455000,180,25-34,Race Not Available,Male,Hispanic or Latino,1,1
295000,61,5.75,89.214,47,335000,360,45-54,White,Joint,Joint,1,1
145000,109,11,100,36,395000,360,35-44,Race Not Available,Joint,Ethnicity Not Available,1,1
405000,373,6.99,35.72,20%-<30%,1115000,360,55-64,White,Joint,Not Hispanic or Latino,1,1
15000,67,12.5,80,41,85000,120,65-74,Race Not Available,Joint,Not Hispanic or Latino,1,1
55000,100,7.95,68.111,48,405000,240,25-34,Black or African American,Male,Not Hispanic or Latino,1,1
395000,180,7.5,96.5,50%-60%,405000,360,45-54,Race Not Available,Male,Ethnicity Not Available,1,1
335000,109,7.5,78.152,46,435000,360,25-34,White,Joint,Not Hispanic or Latino,1,1
175000,61,5.875,90,47,225000,360,25-34,White,Female,Not Hispanic or Latino,1,1
55000,557,7.5,,,65000,180,65-74,Race Not Available,Sex Not Available,Ethnicity Not Available,1,1
55000,51,7.94,16.824,47,345000,240,55-64,White,Male,Not Hispanic or Latino,1,1
65000,172,9.5,84.79,20%-<30%,215000,300,55-64,White,Joint,Not Hispanic or Latino,1,1
95000,201,6.95,82.27,20%-<30%,355000,180,55-64,White,Joint,Joint,1,1
585000,135,5.375,91.604,50%-60%,635000,360,35-44,Asian,Male,Not Hispanic or Latino,1,1
135000,179,6.875,66.483,20%-<30%,195000,360,25-34,Race Not Available,Sex Not Available,Ethnicity Not Available,1,1
55000,80,5.49,69.952,45,625000,240,45-54,White,Male,Joint,1,1
275000,72,7.438,96.5,48,275000,360,35-44,Black or African American,Male,Not Hispanic or Latino,1,1
125000,71,8.9,37.313,40,335000,360,65-74,White,Male,Not Hispanic or Latino,1,1
275000,59,5.625,80,48,335000,360,65-74,Black or African American,Female,Not Hispanic or Latino,1,1
455000,138,6,85,42,545000,360,25-34,White,Male,Not Hispanic or Latino,1,1
105000,,7.25,29.24,<20%,345000,360,55-64,White,Female,Not Hispanic or Latino,1,1
425000,163,8.625,80,20%-<30%,535000,360,45-54,Black or African American,Male,Not Hispanic or Latino,1,1
295000,89,7.5,101.41,50%-60%,305000,360,25-34,Joint,Joint,Joint,1,1
615000,295,7.125,94.4,50%-60%,645000,360,35-44,White,Joint,Joint,1,1
25000,91,Exempt,Exempt,Exempt,Exempt,Exempt,55-64,White,Joint,Not Hispanic or Latino,1,1
495000,270,6.49,80,20%-<30%,615000,360,25-34,Race Not Available,Joint,Ethnicity Not Available,1,1
305000,195,Exempt,Exempt,Exempt,Exempt,Exempt,45-54,White,Joint,Not Hispanic or Latino,1,1
245000,80,6.19,80,50%-60%,305000,360,35-44,White,Joint,Not Hispanic or Latino,1,1
385000,124,4.75,100,36,375000,360,25-34,Race Not Available,Joint,Ethnicity Not Available,1,1
185000,69,6.75,103.37,49,175000,360,45-54,White,Male,Hispanic or Latino,1,1
135000,60,6.875,102.48,40,135000,360,65-74,White,Joint,Not Hispanic or Latino,1,1
35000,18,8.25,19.664,43,155000,480,65-74,White,Female,Not Hispanic or Latino,1,1
335000,154,6.875,97,20%-<30%,345000,360,25-34,White,Joint,Not Hispanic or Latino,1,1
105000,,8.25,38.71,36,765000,480,45-54,Asian,Female,Not Hispanic or Latino,1,1
125000,146,Exempt,Exempt,Exempt,Exempt,Exempt,55-64,White,Male,Not Hispanic or Latino,1,1
165000,244,7.75,74.937,36,1225000,300,55-64,Asian,Female,Not Hispanic or Latino,1,1
105000,284,8.24,70.5,20%-<30%,1005000,300,35-44,Race Not Available,Sex Not Available,Ethnicity Not Available,1,1
95000,168,9.25,80,48,905000,360,35-44,Race Not Available,Sex Not Available,Hispanic or Latino,1,1
155000,66,7.75,59.162,44,565000,240,65-74,White,Female,Not Hispanic or Latino,1,1
475000,222,6.49,73.3,46,1375000,360,35-44,White,Male,Hispanic or Latino,1,1
245000,,6.5,79.47,,305000,60,8888,Race Not Available,Sex Not Available,Ethnicity Not Available,1,1
345000,96,7.75,96.5,45,355000,360,25-34,Race Not Available,Male,Ethnicity Not Available,1,1
515000,227,7.125,80,30%-<36%,645000,360,45-54,White,Male,Not Hispanic or Latino,1,1
115000,67,6.99,37.931,30%-<36%,295000,240,65-74,White,Male,Not Hispanic or Latino,1,1
35000,74,7.24,12.82,41,305000,360,65-74,White,Male,Hispanic or Latino,1,1
1075000,994,6.865,95,42,1135000,360,35-44,White,Male,Not Hispanic or Latino,1,1
115000,329,5.74,75,>60%,155000,240,35-44,White,Male,Not Hispanic or Latino,1,1
135000,36,7,84.663,44,165000,360,45-54,White,Female,Not Hispanic or Latino,1,1
645000,191,5.625,88.356,36,735000,360,35-44,White,Joint,Not Hispanic or Latino,1,1
45000,52,7.125,79.74,49,305000,180,35-44,White,Female,Not Hispanic or Latino,1,1
185000,95,7,80,41,235000,360,25-34,White,Joint,Not Hispanic or Latino,1,1
485000,108,6.75,100.427,50%-60%,495000,360,<25,Race Not Available,Male,Hispanic or Latino,1,1
365000,148,6.75,96.5,49,375000,360,35-44,White,Male,Not Hispanic or Latino,1,1
225000,56,5.75,,,355000,360,65-74,White,Male,Ethnicity Not Available,1,1
75000,86,9.75,79.349,20%-<30%,255000,300,25-34,White,Male,Not Hispanic or Latino,1,1
405000,204,7.063,96.5,50%-60%,405000,360,25-34,White,Joint,Hispanic or Latino,1,1
825000,231,5.99,91.763,41,885000,360,35-44,White,Joint,Not Hispanic or Latino,1,1
15000,79,9.25,89.417,43,295000,240,45-54,White,Female,Ethnicity Not Available,1,1
45000,56,Exempt,Exempt,Exempt,Exempt,Exempt,25-34,White,Male,Not Hispanic or Latino,1,1
255000,383,6.49,69.07,20%-<30%,1905000,360,55-64,White,Male,Not Hispanic or Latino,1,1
195000,214,6.75,77.87,42,705000,180,45-54,Race Not Available,Joint,Ethnicity Not Available,1,1
5765000,,5.88,64.25,,8975000,120,8888,Race Not Available,Sex Not Available,Ethnicity Not Available,1,1
85000,195,7.49,82.51,40,505000,360,45-54,Black or African American,Joint,Not Hispanic or Latino,1,1
3015000,,6.375,77.18,,3905000,120,8888,Race Not Available,Sex Not Available,Ethnicity Not Available,1,1
415000,158,7.625,84.65,39,495000,360,45-54,White,Female,Not Hispanic or Latino,1,1
125000,125,6.24,37.91,<20%,325000,360,55-64,White,Joint,Not Hispanic or Latino,1,1
375000,100,4.99,80,30%-<36%,465000,360,55-64,White,Female,Ethnicity Not Available,1,1
125000,40,6.875,31.25,30%-<36%,385000,360,55-64,White,Joint,Hispanic or Latino,1,1
205000,64,6.375,41.667,50%-60%,485000,360,55-64,White,Male,Not Hispanic or Latino,1,1
105000,35,8.875,21.053,42,475000,240,45-54,White,Joint,Not Hispanic or Latino,1,1
65000,118,7.6,22.16,49,2375000,180,>74,Black or African American,Joint,Not Hispanic or Latino,1,1
235000,61,6.625,104.593,50%-60%,275000,360,25-34,Black or African American,Female,Not Hispanic or Latino,1,1
185000,126,7.5,41.23,20%-<30%,435000,180,65-74,White,Male,Not Hispanic or Latino,1,1
325000,84,7.25,96.5,41,325000,360,25-34,Joint,Joint,Joint,1,1
65000,77,7.45,80,38,205000,120,55-64,White,Joint,Not Hispanic or Latino,1,1
335000,111,7.375,94.857,40,365000,360,55-64,White,Joint,Not Hispanic or Latino,1,1
105000,233,6.49,58.94,20%-<30%,305000,180,55-64,White,Joint,Not Hispanic or Latino,1,1
65000,53,1.99,80,20%-<30%,75000,360,25-34,White,Male,Not Hispanic or Latino,1,1
175000,67,5.75,100,41,175000,300,35-44,Race Not Available,Male,Not Hispanic or Latino,1,1
365000,120,7.625,80,50%-60%,465000,360,25-34,White,Male,Not Hispanic or Latino,1,1
295000,117,6.875,74.359,30%-<36%,395000,360,65-74,White,Male,Not Hispanic or Latino,1,1
225000,186,6.49,59.211,20%-<30%,385000,360,55-64,White,Joint,Not Hispanic or Latino,1,1
415000,84,6.25,77.9245,49,535000,360,25-34,Race Not Available,Female,Not Hispanic or Latino,1,1
275000,,6.75,,,,360,25-34,Black or African American,Male,Not Hispanic or Latino,1,1
115000,183,,,,,,55-64,Black or African American,Male,Not Hispanic or Latino,1,1
55000,105,7.59,35.744,39,465000,120,65-74,White,Joint,Not Hispanic or Latino,1,1
255000,280,5.99,77.444,38,825000,360,45-54,White,Joint,Not Hispanic or Latino,1,1
275000,97,6.5,80,37,345000,360,25-34,Asian,Male,Not Hispanic or Latino,1,1
435000,120,4.99,97,40,445000,360,35-44,Asian,Joint,Not Hispanic or Latino,1,1
355000,291,5.875,38,30%-<36%,945000,360,35-44,Race Not Available,Joint,Ethnicity Not Available,1,1
135000,35,7.75,100,42,135000,360,25-34,White,Female,Not Hispanic or Latino,1,1
175000,88,Exempt,Exempt,Exempt,Exempt,Exempt,25-34,White,Joint,Not Hispanic or Latino,1,1
35000,76,10.46,48.65,44,275000,120,65-74,White,Female,Not Hispanic or Latino,1,1
195000,126,8.45,43.691,50%-60%,1245000,360,45-54,White,Male,Not Hispanic or Latino,1,1
325000,198,6.24,67.15,<20%,485000,360,35-44,White,Female,Not Hispanic or Latino,1,1
95000,38,8.65,80,43,125000,240,35-44,White,Female,Hispanic or Latino,1,1
285000,62,6.875,95,45,295000,360,<25,Asian,Male,Not Hispanic or Latino,1,1
515000,288,7.25,60,37,855000,360,35-44,Asian,Joint,Not Hispanic or Latino,1,1
45000,97,7.75,69.388,42,395000,180,35-44,White,Male,Not Hispanic or Latino,1,1
75000,116,8.7,80,48,425000,360,45-54,White,Joint,Not Hispanic or Latino,1,1
155000,83,Exempt,Exempt,Exempt,Exempt,Exempt,65-74,White,Joint,Not Hispanic or Latino,1,1
65000,32,7.375,18.462,40,325000,360,65-74,Black or African American,Male,Not Hispanic or Latino,1,1
225000,63,6.25,80,42,275000,360,25-34,Asian,Joint,Not Hispanic or Latino,1,1
35000,231,5,49.871,<20%,565000,180,55-64,White,Joint,Not Hispanic or Latino,1,1
115000,216,6.5,75,30%-<36%,155000,360,55-64,White,Joint,Not Hispanic or Latino,1,1
165000,55,2.25,100,39,165000,323,35-44,White,Male,Not Hispanic or Latino,1,1
525000,150,6.99,75,39,695000,360,55-64,White,Male,Ethnicity Not Available,1,1
155000,99,6.375,36.585,<20%,415000,360,55-64,White,Male,Not Hispanic or Latino,1,1
245000,74,7.5,101.451,41,255000,360,35-44,Black or African American,Female,Not Hispanic or Latino,1,1
195000,,7.85,62.374,,315000,60,8888,Race Not Available,Sex Not Available,Ethnicity Not Available,1,1
275000,86,5.875,69.625,30%-<36%,405000,360,25-34,White,Joint,Not Hispanic or Latino,1,1
445000,187,7.125,42.545,49,1055000,360,25-34,White,Male,Not Hispanic or Latino,1,1
5000,89,0,102.12,30%-<36%,205000,36,25-34,Race Not Available,Male,Ethnicity Not Available,1,1
85000,118,8.75,54.83,20%-<30%,155000,300,65-74,Race Not Available,Sex Not Available,Ethnicity Not Available,1,1
35000,119,7.65,67.7,36,645000,240,25-34,White,Joint,Hispanic or Latino,1,1
305000,99,8,90,37,335000,360,>74,White,Joint,Not Hispanic or Latino,1,1
275000,70,6.25,99.409,30%-<36%,275000,360,25-34,Race Not Available,Male,Not Hispanic or Latino,1,1
35000,69,8.75,58.805,39,375000,360,35-44,White,Female,Not Hispanic or Latino,1,1
155000,129,8.24,73.615,41,735000,240,55-64,Joint,Joint,Not Hispanic or Latino,1,1
145000,93,5.5,59.574,20%-<30%,235000,180,35-44,American Indian or Alaska Native,Female,Not Hispanic or Latino,1,1
125000,104,6.5,88.2,30%-<36%,345000,120,35-44,Black or African American,Male,Not Hispanic or Latino,1,1
725000,482,Exempt,Exempt,Exempt,Exempt,Exempt,45-54,White,Joint,Joint,1,1
55000,106,8.375,63.361,30%-<36%,315000,180,45-54,White,Joint,Not Hispanic or Latino,1,1
105000,95,5.99,70.34,43,615000,300,45-54,White,Joint,Hispanic or Latino,1,1
35000,125,3.99,46.568,20%-<30%,245000,300,25-34,White,Male,Not Hispanic or Latino,1,1
165000,69,6.75,63.2,38,255000,360,45-54,White,Male,Not Hispanic or Latino,1,1
525000,162,Exempt,Exempt,Exempt,Exempt,Exempt,65-74,White,Joint,Not Hispanic or Latino,1,1
195000,216,7.375,39.382,20%-<30%,495000,360,55-64,Race Not Available,Sex Not Available,Ethnicity Not Available,1,1
135000,53,6.875,75,37,185000,360,45-54,White,Female,Hispanic or Latino,1,1
115000,47,8.625,101.75,40,115000,360,45-54,White,Female,Not Hispanic or Latino,1,1
115000,41,6.25,42.182,30%-<36%,275000,360,>74,Race Not Available,Sex Not Available,Ethnicity Not Available,1,1
305000,90,Exempt,Exempt,Exempt,Exempt,Exempt,45-54,White,Joint,Not Hispanic or Latino,1,1
155000,220,9.45,78.961,49,1175000,360,45-54,White,Joint,Not Hispanic or Latino,1,1
405000,176,5.99,43.34,45,1105000,300,45-54,Black or African American,Male,Not Hispanic or Latino,1,1
135000,47,7.25,96.5,36,135000,360,35-44,White,Male,Not Hispanic or Latino,1,1
1105000,488,5.875,80,20%-<30%,1385000,360,25-34,Asian,Joint,Not Hispanic or Latino,1,1
235000,60,6.99,90,50%-60%,255000,360,45-54,White,Female,Not Hispanic or Latino,1,1
315000,116,7.375,58,43,555000,360,35-44,White,Male,Not Hispanic or Latino,1,1
75000,63,8.7,69.99,47,135000,360,45-54,White,Male,Not Hispanic or Latino,1,1
225000,87,9.125,24.972,37,905000,360,45-54,Race Not Available,Male,Not Hispanic or Latino,1,1
215000,89,6.75,101.41,44,215000,360,<25,White,Joint,Not Hispanic or Latino,1,1
765000,285,6.375,102.53,47,755000,360,25-34,White,Joint,Not Hispanic or Latino,1,1
225000,,9.75,75,,295000,360,25-34,Race Not Available,Sex Not Available,Ethnicity Not Available,1,1
105000,55,9,52.217,50%-60%,625000,360,65-74,White,Male,Not Hispanic or Latino,1,1
255000,72,6.125,60.533,42,415000,360,55-64,White,Male,Not Hispanic or Latino,1,1
235000,169,Exempt,Exempt,Exempt,Exempt,Exempt,35-44,White,Joint,Not Hispanic or Latino,1,1
85000,36,7.375,80,30%-<36%,105000,360,65-74,White,Joint,Not Hispanic or Latino,1,1
95000,46,7.99,34.86,49,275000,360,65-74,White,Male,Not Hispanic or Latino,1,1
285000,129,5.99,95,20%-<30%,305000,360,25-34,Asian,Male,Not Hispanic or Latino,1,1
